Judul Berita,PC1_2D,PC2_2D,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
Studi Terbaru Ungkap Manfaat Jalan Kaki 30 Menit Setiap Hari,-0.15746464260319676,-0.06584133750995948,-0.15746464260319676,-0.06584133750995948,-0.045310931251877865,0.2781348907594528,0.34064213591359277,0.2494885707749374,0.36024898092290203,-0.10691929798754297,0.1697855938354093,0.17459976016427367,0.09143458136431985,0.049870336461610834,-0.20214443091402215,-0.028130186121254893,-0.056014090745256144,0.10964465527774292,0.192325456306422,0.05713655154653417,0.13814024944715717,0.04040837314353604,-0.008186140912350896,0.11407558013697199,-0.07227788456776954,-0.05210574209923542,0.030171207465131186,0.045384479109979996,0.020990396420819374,-0.29193623552189146,0.008860161779268462,0.3088476719131272,0.2205373573527998,0.21006903488193918,-0.06898829731372766,-0.009770633293771291,-0.0236694849781767
Kemenkes Ingatkan Warga Waspada Lonjakan Kasus DBD di Musim Hujan,0.22620567058062113,0.08172513464342897,0.22620567058062113,0.08172513464342897,0.01999583617193744,-0.33393689154673944,0.23921309112083508,-0.2109671320304631,-0.015841594300403307,-0.29773453893120977,-0.08590908454305311,0.26988549049345695,0.07872447851097143,0.04676015005966104,0.029520040866608255,-0.16615023579283883,-0.0054714835040289515,-0.12527051970428485,0.09224713916464805,-0.22010000223557424,-0.042387580593843954,0.07364725012557699,0.06962408556351546,0.057325469317504096,-0.28186186031506194,-0.07462734758538331,0.1982435824295665,-0.25094025884965787,0.18699542440299122,-0.025859450132961485,0.14642826909133905,-0.17524398178562017,0.23072726666828514,-0.11642159803697745,0.163898942786217,0.12410064295767292,-0.009445595755091138
5 Kebiasaan Sederhana yang Bisa Menurunkan Risiko Diabetes,0.041868824184583014,0.2692375907653708,0.041868824184583014,0.2692375907653708,0.1166019214822897,0.3534334072299548,-0.11684837243597544,-0.1413368938448881,-0.3419569050996774,0.015178474654310284,0.2813736828801392,0.09325109818718266,0.16717913158724207,-0.08251177248609298,0.13101131371907077,-0.3009616991058075,0.14212549295055607,0.12822326455374444,0.060368747704215624,0.047447054584306175,-0.0009367672602725753,0.04225242313518234,-0.056471315786710614,0.17321227137980116,0.018000133637398694,0.06755884116552462,-0.20429623893753135,0.14885812354549074,0.12617737493753345,-0.014143563407207052,0.031101777542446748,-0.11007334703700661,0.2452632227876186,-0.1623436935304928,-0.08162724161311369,-0.21922203869697943,0.14318202927970686
Dokter Jelaskan Perbedaan Flu Biasa dan Flu Singapura pada Anak,0.038969021448144535,0.31830299663098593,0.038969021448144535,0.31830299663098593,-0.12489045150434264,-0.23611410856066944,-0.028258245312709245,0.05180588377429593,-0.08711084093417272,0.23629015133515507,0.5134177100289811,-0.017895427342426353,0.14404982766597835,-0.09046814141373188,0.007730090919295793,0.07615538016454065,-0.17918796113323537,-0.1806987241614381,-0.006402411615204746,0.11169719206313129,0.04762225134390416,-0.037385730806338224,-0.19748553790874773,0.04690768816820285,0.08951185894555981,0.10033121444298784,-0.22729779673441505,0.06577168287375489,0.0638063117448652,-0.008669847419648498,-0.012004009485226464,0.044172403086456334,-0.0172868637496713,0.006134514545473312,0.25253285122529395,0.3401261348670074,0.010914817152055525
Riset: Kurang Tidur Bisa Tingkatkan Risiko Penyakit Jantung,-0.09292058683444818,0.2979161412858323,-0.09292058683444818,0.2979161412858323,0.2526476575872305,0.3390702072410232,-0.23920343826098925,-0.29995629284161635,0.1255077188327331,-0.18713611901977933,-0.12389920827562372,-0.19807971463175153,-0.047279407621388464,-0.13773630470843837,-0.0358434713394469,0.06311488242856526,-0.07999378296550916,-0.16596542431101824,0.020999998996740134,-0.05557993866298688,-0.05418426679964015,0.23887967603269505,-0.16670565583315577,0.020935382606542156,-0.08621679822568275,0.007683459798643674,0.06918750941709667,-0.1536737028683149,0.024265051640531055,0.047753106345192545,-0.16805591703434827,0.18743119343941173,-0.1275162951535964,0.012564589034184401,0.04123177940252975,0.10667573486023699,-0.055217392998427574
BPOM Rilis Daftar Obat Sirup yang Aman Dikonsumsi Anak,0.059877783723999566,0.22268721373493272,0.059877783723999566,0.22268721373493272,-0.13017814769497027,0.015646119166880836,-0.06298088123088667,0.4550170455049767,-0.22764207171159181,-0.1002121824789891,-0.20518936949452563,0.09533515789827916,-0.34720216642923984,-0.023345408832632496,-0.01213226435029649,0.08389252797771787,0.031467743222410624,-0.19329827949086628,-0.1364031843211658,0.06993958713287417,0.12020268976369347,-0.029526999555337566,-0.02083553161058501,-0.05239621974527687,0.1405100995007445,0.04056578059124622,0.08433999826226359,0.01689918197580264,0.11662496699245585,-0.09558423336070561,0.3340164897137386,0.24822898715181196,-0.01959121196385521,-0.33893817676230886,-0.06571825969882816,0.00838361891468196,0.004543007979705393
Tips Menjaga Kesehatan Mental di Tengah Padatnya Pekerjaan,-0.26974031152360406,-0.3907660388493502,-0.26974031152360406,-0.3907660388493502,-0.2981705985771794,-0.07236893045310132,-0.36070612779076305,-0.17475550092608624,-0.10788779339061395,-0.11509901711444792,0.04593257293339847,0.1878955500759024,0.011913609433792573,-0.06864194176146728,-0.04458195750900108,0.001194573891983357,0.04087543620137937,0.020765038144340088,-0.022725498074049173,-0.04423683667459017,0.1325927044064512,0.012211994097548588,-0.11979647489882243,-0.10292059369626859,0.05951298492047448,-0.19849639422322643,0.013928593011815807,0.0013238335148401889,-0.03036120131504809,-0.020657736069690538,0.028125881068830825,-0.019887445251450447,-0.03953782287335525,0.03921380313132735,0.14959010812405904,-0.2018428269298779,0.17699656165406513
"Kasus Cacar Monyet Bertambah, Ini Gejala yang Perlu Diwaspadai",0.40256264087901966,-0.09259667062898819,0.40256264087901966,-0.09259667062898819,0.03585755705764159,-0.16402887966809046,0.20612996743367856,-0.19742994589463816,-0.024962590525522504,-0.3258509023921781,0.06636523590071688,0.009822616246442126,-0.13786656078373577,-0.014925083763040812,-0.048093724788369256,-0.10105675764444352,-0.13803186578057267,0.05709151040734588,-0.05241849579502287,-0.08761951909407785,0.06637501023239303,0.09359901233602508,0.100590553901759,-0.007901486336803718,0.07765342605138208,-0.02152750498663955,0.14555780153240006,0.540296612308505,-0.14529393052906214,0.23770482656486663,-0.18036920942141713,0.18100641764222725,0.00764573121877948,-0.08681117352473154,0.005310671893676972,0.0473937165491843,0.05040155342621903
Ahli Gizi Sarankan Konsumsi Serat untuk Jaga Kesehatan Usus,-0.1633913759244896,-0.1635589373202918,-0.1633913759244896,-0.1635589373202918,-0.1636585596846301,0.013946986642518732,-0.14098383473913564,0.14448734409187577,-0.13943933334844816,-0.1927725107360677,-0.07478834435765838,-0.1788486319817327,-0.008467195486262659,0.403519702160156,0.35274384592466757,-0.03725618793511761,-0.08194068202665462,-0.20499356789548756,-0.20238949774362194,0.03328714228486027,0.1544444383793025,-0.08338437310761376,0.09601907204743514,0.20023477541472504,-0.028777235887475387,0.04996150217763034,-0.00641829478033218,0.012618118924055349,0.21841306639955033,0.19351176677265808,-0.030767985914935347,-0.0049748903404071235,0.10883769287402881,0.33768945199456174,-0.14490263614986665,0.0986128081077561,0.07289909634482288
Vaksinasi Booster Kedua Mulai Disarankan untuk Lansia,0.0035511400195157583,-0.006524008399630119,0.0035511400195157583,-0.006524008399630119,-0.004083810833663645,-0.007552097067745232,-0.02340342971721106,0.10457130344477719,-0.14001083567877928,-0.0896075881055009,-0.03162920069074505,-0.14923169823976773,0.05819264033520286,0.5480481315352637,0.3380780506515174,0.14853288441010465,-0.2550100916505143,0.2375836054512497,0.4466919214997066,-0.02773567655076839,-0.22368488627580416,0.1271971467603077,-0.17038786435601985,-0.15026905930243764,0.061555431184229424,-0.04181730970732521,-0.0119234401630832,0.009074863252120584,-0.1040532417526085,-0.09896541496002262,0.017497437508693973,0.0010564242097739424,-0.04873349964835677,-0.13584580879219238,0.04988045528297751,-0.02926181782450948,-0.03049416972668565
